	category	title	description	price	level	lectures_count	training_materials_count	img_alt
23	programowanie	Kurs SQL - bazy danych od podstaw	Poznaj język SQL od zera i dowiedz się jak programować wydajne i bezpieczne bazy danych. Naucz się wyszukiwać, wstawiać i modyfikować dane oraz tworzyć proste i złożone zapytania SQL.	89	Podstawowy	27	35	Kurs SQL - bazy danych od podstaw
24	programowanie	Kurs WordPress dla zielonych - własna strona od podstaw	Stwórz własną stronę bez jakiejkolwiek wiedzy na temat programowania. Dowiedz się jak samodzielnie nią zarządzać i wykorzystać do rozwoju swojego biznesu lub pasji.	79	Podstawowy	62	20	Kurs WordPress dla zielonych - własna strona od podstaw
25	programowanie	Kurs Praca z JSON i XML w praktyce	Poznaj struktury formatów JSON i XML na praktycznych przykładach. Wykorzystaj zdobytą wiedzę niezależnie od języka, w którym programujesz!	59	Podstawowy	26	20	Kurs Praca z JSON i XML w praktyce
26	programowanie	Kurs Tworzenie stron internetowych bez kodowania	Zbuduj dowolną stronę bez znajomości HTML, CSS, JavaScript i jakiekolwiek umiejętności kodowania. Wykorzystaj narzędzia no-code już dziś!	89	Podstawowy	48	25	Kurs Tworzenie stron internetowych bez kodowania
27	programowanie	Kurs Django - aplikacje webowe od podstaw	Poznaj od zera Django, jeden z najpopularniejszych frameworków Python i wykorzystaj jego możliwości do tworzenia dynamicznych aplikacji webowych.	79	Podstawowy	38	21	Kurs Django - aplikacje webowe od podstaw
28	programowanie	Kurs Produktywny programista - techniki i narzędzia no-code	Dowiedz się jak wykorzystać najlepsze narzędzia no-code i lepiej organizować swoją pracę, tak by stać się bardziej produktywnym programistą!	69	Podstawowy	42	26	Kurs Produktywny programista - techniki i narzędzia no-code
29	programowanie	Fundamenty programowania w języku PHP 8	Naucz się od podstaw najnowszej wersji języka PHP i zacznij szybko tworzyć wydajne aplikacje back-endowe.	79	Podstawowy	67	20	Fundamenty programowania w języku PHP 8
30	programowanie	Kurs Gatsby.js - łatwe tworzenie wydajnych stron	Naucz się szybko budować nowoczesne i niesamowicie wydajne strony z frameworkiem Gatsby.js.	69	Podstawowy	30	22	Kurs Gatsby.js - łatwe tworzenie wydajnych stron
31	programowanie	Fundamenty języka HTML - kodowanie stron od podstaw	Jasne i proste wprowadzenie do najważniejszej technologii tworzenia stron. Aktualna wiedza i wiele praktyki w pracy z HTML.	79	Podstawowy	58	20	Fundamenty języka HTML - kodowanie stron od podstaw
32	programowanie	Fundamenty CSS - stylowanie stron od podstaw	Twórz wspaniałe strony z użyciem niesamowitych możliwości współczesnego CSS. Poznaj od zera techniki stylowania stron z kaskadowymi arkuszami stylów.	79	Podstawowy	76	20	Fundamenty CSS - stylowanie stron od podstaw
